UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2018,9.47,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2018,19.47,0
UTILITY,JHARKHAND,UTILITY-RE,RENEWABLES,RENEWABLE,2018,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2018,0,0
CAPTIVE,JHARKHAND,CAPTIVE,SOLAR,RENEWABLE,2018,0,0
CAPTIVE,JHARKHAND,CAPTIVE,WIND,RENEWABLE,2018,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2019,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2019,1.763,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2019,19.146,0
UTILITY,JHARKHAND,UTILITY-RE,RENEWABLES,RENEWABLE,2019,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2019,0,0
CAPTIVE,JHARKHAND,CAPTIVE,SOLAR,RENEWABLE,2019,0,0
CAPTIVE,JHARKHAND,CAPTIVE,WIND,RENEWABLE,2019,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2020,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2020,5.429,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2020,17.469,0
UTILITY,JHARKHAND,UTILITY-RE,RENEWABLES,RENEWABLE,2020,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2020,0,0
CAPTIVE,JHARKHAND,CAPTIVE,SOLAR,RENEWABLE,2020,1.037,0
CAPTIVE,JHARKHAND,CAPTIVE,WIND,RENEWABLE,2020,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2008,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2008,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2008,0,0
UTILITY,JHARKHAND,UTILITY-RE,WASTE,RENEWABLE,2008,0,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2008,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2009,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0,0
UTILITY,JHARKHAND,UTILITY-RE,WASTE,RENEWABLE,2009,0,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2009,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2010,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2010,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2010,0,0
UTILITY,JHARKHAND,UTILITY-RE,WASTE,RENEWABLE,2010,0,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2010,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2011,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2011,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2011,0,0
UTILITY,JHARKHAND,UTILITY-RE,WASTE,RENEWABLE,2011,0,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2011,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2012,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2012,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2012,0,0
UTILITY,JHARKHAND,UTILITY-RE,WASTE,RENEWABLE,2012,0,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2012,4.885,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2013,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2013,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2013,0,0
